NAME                                    VERSION                 TYPE   
py3-jaraco.classes-pyc                  3.2.3-r3                apk     
py3-jeepney                             0.8.0-r2                apk     
py3-jeepney-pyc                         0.8.0-r2                apk     
py3-jsonschema                          4.7.2-r4                apk     
py3-jsonschema-pyc                      4.7.2-r4                apk     
py3-keyring                             23.13.1-r1              apk     
py3-keyring-pyc                         23.13.1-r1              apk     
py3-lark-parser                         0.11.3-r3               apk     
py3-lark-parser-pyc                     0.11.3-r3               apk     
py3-lockfile                            0.12.2-r8               apk     
py3-lockfile-pyc                        0.12.2-r8               apk     
py3-more-itertools                      9.1.0-r1                apk     
py3-more-itertools-pyc                  9.1.0-r1                apk     
py3-msgpack                             1.0.5-r1                apk     
py3-msgpack-pyc                         1.0.5-r1                apk     
py3-packaging                           23.1-r1                 apk     
py3-packaging-pyc                       23.1-r1                 apk     
py3-parsing                             3.0.9-r2                apk     
py3-parsing-pyc                         3.0.9-r2                apk     
py3-pexpect                             4.8.0-r5                apk     
py3-pexpect-pyc                         4.8.0-r5                apk     
py3-pip                                 23.1.2-r0               apk     
py3-pip-pyc                             23.1.2-r0               apk     
py3-pkginfo                             1.9.6-r1                apk     
py3-pkginfo-pyc                         1.9.6-r1                apk     
py3-platformdirs                        3.5.0-r0                apk     
py3-platformdirs-pyc                    3.5.0-r0                apk     
py3-poetry-core                         1.5.2-r1                apk     
py3-poetry-core-pyc                     1.5.2-r1                apk     
py3-poetry-plugin-export                1.3.1-r1                apk     
py3-poetry-plugin-export-pyc            1.3.1-r1                apk     
py3-ptyprocess                          0.7.0-r5                apk     
py3-ptyprocess-pyc                      0.7.0-r5                apk     
py3-pyproject-hooks                     1.0.0-r1                apk     
py3-pyproject-hooks-pyc                 1.0.0-r1                apk     
py3-pyrsistent                          0.19.3-r1               apk     
py3-pyrsistent-pyc                      0.19.3-r1               apk     
py3-rapidfuzz                           3.0.0-r1                apk     
py3-rapidfuzz-pyc                       3.0.0-r1                apk     
py3-requests                            2.31.0-r0               apk     
py3-requests-pyc                        2.31.0-r0               apk     
py3-requests-toolbelt                   1.0.0-r0                apk     
py3-requests-toolbelt-pyc               1.0.0-r0                apk     
py3-secretstorage                       3.3.3-r2                apk     
py3-secretstorage-pyc                   3.3.3-r2                apk     
py3-setuptools                          67.7.2-r0               apk     
py3-setuptools-pyc                      67.7.2-r0               apk     
py3-shellingham                         1.5.0-r4                apk     
py3-shellingham-pyc                     1.5.0-r4                apk     
py3-six                                 1.16.0-r6               apk     
py3-six-pyc                             1.16.0-r6               apk     
py3-tomlkit                             0.11.6-r2               apk     
py3-tomlkit-pyc                         0.11.6-r2               apk     
py3-trove-classifiers                   2023.5.2-r0             apk     
py3-trove-classifiers-pyc               2023.5.2-r0             apk     
py3-urllib3                             1.26.15-r1              apk     
py3-urllib3-pyc                         1.26.15-r1              apk     
py3-virtualenv                          20.23.1-r0              apk     
py3-virtualenv-pyc                      20.23.1-r0              apk     
py3-webencodings                        0.5.1-r7                apk     
py3-webencodings-pyc                    0.5.1-r7                apk     
py3-zipp                                3.15.0-r1               apk     
py3-zipp-pyc                            3.15.0-r1               apk     
pyc                                     0.1-r0                  apk     
pycparser                               2.21                    python  
pyparsing                               3.0.9                   python  
pyproject_hooks                         1.0.0                   python  
pyrsistent                              0.19.3                  python  
python3                                 3.11.5-r0               apk     
python3-pyc                             3.11.5-r0               apk     
python3-pycache-pyc0                    3.11.5-r0               apk     
qrcode-terminal                         0.12.0                  npm     
rapidfuzz                               3.0.0                   python  
read                                    2.1.0                   npm     
read-cmd-shim                           4.0.0                   npm     
read-package-json                       6.0.3                   npm     
read-package-json-fast                  3.0.2                   npm     
readable-stream                         3.6.2                   npm     
readable-stream                         4.3.0                   npm     
readline                                8.2.1-r1                apk     
requests                                2.31.0                  python  
requests-toolbelt                       1.0.0                   python  
retry                                   0.12.0                  npm     
rimraf                                  3.0.2                   npm     
rust                                    1.71.1-r0               apk     
rustc_codegen_cranelift-github-release  0.0.0                   npm     
rustfmt                                 1.71.1-r0               apk     
safe-buffer                             5.1.2                   npm     
safer-buffer                            2.1.2                   npm     
scanelf                                 1.3.7-r1                apk     
semver                                  7.5.0                   npm     
set-blocking                            2.0.0                   npm     
setuptools                              67.7.2                  python  
shared-mime-info                        2.2-r5                  apk     
shebang-command                         2.0.0                   npm     
shebang-regex                           3.0.0                   npm     
shellingham                             1.5.0                   python  
signal-exit                             3.0.7                   npm     
signal-exit                             4.0.1                   npm     
sigstore                                1.4.0                   npm     
six                                     1.16.0                  python  
skalibs                                 2.13.1.1-r1             apk     
smart-buffer                            4.2.0                   npm     
socks                                   2.7.1                   npm     
socks-proxy-agent                       7.0.0                   npm     
spdx-correct                            3.2.0                   npm     
spdx-exceptions                         2.3.0                   npm     
spdx-expression-parse                   3.0.1                   npm     
spdx-license-ids                        3.0.13                  npm     
sqlite                                  3.41.2-r2               apk     
sqlite-dev                              3.41.2-r2               apk     
sqlite-libs                             3.41.2-r2               apk     
ssl_client                              1.36.1-r2               apk     
ssri                                    10.0.4                  npm     
ssri                                    9.0.1                   npm     
string-width                            4.2.3                   npm     
string-width                            5.1.2                   npm     
string_decoder                          1.1.1                   npm     
strip-ansi                              6.0.1                   npm     
strip-ansi                              7.0.1                   npm     
supports-color                          7.2.0                   npm     
tar                                     6.1.14                  npm     
text-table                              0.2.0                   npm     
tiff                                    4.5.1-r0                apk     
tiny-relative-date                      1.3.0                   npm     
tomlkit                                 0.11.6                  python  
treeverse                               3.0.0                   npm     
trove-classifiers                       2023.5.2                python  
tuf-js                                  1.1.5                   npm     
unique-filename                         2.0.1                   npm     
unique-filename                         3.0.0                   npm     
unique-slug                             3.0.0                   npm     
unique-slug                             4.0.0                   npm     
urllib3                                 1.26.15                 python  
util-deprecate                          1.0.2                   npm     
utmps-libs                              0.1.2.1-r1              apk     
validate-npm-package-license            3.0.4                   npm     
validate-npm-package-name               5.0.0                   npm     
vips                                    8.14.3-r0               apk     
vips-cpp                                8.14.3-r0               apk     
virtualenv                              20.23.1                 python  
walk-up-path                            3.0.1                   npm     
wcwidth                                 1.0.1                   npm     
webencodings                            0.5.1                   python  
which                                   2.0.2                   npm     
which                                   3.0.1                   npm     
wide-align                              1.1.5                   npm     
wrap-ansi                               7.0.0                   npm     
wrap-ansi                               8.1.0                   npm     
wrappy                                  1.0.2                   npm     
write-file-atomic                       5.0.1                   npm     
xz-libs                                 5.4.3-r0                apk     
yallist                                 4.0.0                   npm     
zipp                                    3.15.0                  python  
zlib                                    1.2.13-r1               apk     
zstd-libs                               1.5.5-r4                apk     
